"","GAGAid","LGT.count"
"1","GAGA-0020",11
"2","GAGA-0024",8
"3","GAGA-0025",2
"4","GAGA-0028",38
"5","GAGA-0063",2
"6","GAGA-0080",2
"7","GAGA-0082",1
"8","GAGA-0085",1
"9","GAGA-0087",40
"10","GAGA-0098",4
"11","GAGA-0099",5
"12","GAGA-0103",10
"13","GAGA-0114",5
"14","GAGA-0177",10
"15","GAGA-0187",3
"16","GAGA-0200",4
"17","GAGA-0221",2
"18","GAGA-0222",13
"19","GAGA-0223",17
"20","GAGA-0224",6
"21","GAGA-0229",6
"22","GAGA-0245",3
"23","GAGA-0246",1
"24","GAGA-0256",4
"25","GAGA-0266",3
"26","GAGA-0288",8
"27","GAGA-0300",1
"28","GAGA-0302",9
"29","GAGA-0306",4
"30","GAGA-0307",1
"31","GAGA-0328",3
"32","GAGA-0333",1
"33","GAGA-0334",1
"34","GAGA-0335",2
"35","GAGA-0341",2
"36","GAGA-0346",1
"37","GAGA-0350",3
"38","GAGA-0353",9
"39","GAGA-0354",1
"40","GAGA-0356",2
"41","GAGA-0359",7
"42","GAGA-0360",1
"43","GAGA-0363",11
"44","GAGA-0364",11
"45","GAGA-0365",7
"46","GAGA-0378",1
"47","GAGA-0382",1
"48","GAGA-0384",1
"49","GAGA-0395",1
"50","GAGA-0401",24
"51","GAGA-0405",1
"52","GAGA-0407",5
"53","GAGA-0413",3
"54","GAGA-0454",2
"55","GAGA-0463",12
"56","GAGA-0485",5
"57","GAGA-0491",10
"58","GAGA-0494",3
"59","GAGA-0502",8
"60","GAGA-0503",1
"61","GAGA-0505",1
"62","GAGA-0510",13
"63","GAGA-0511",5
"64","GAGA-0512",13
"65","GAGA-0513",18
"66","GAGA-0515",1
"67","GAGA-0520",2
"68","GAGA-0521",1
"69","GAGA-0522",1
"70","GAGA-0524",9
"71","GAGA-0527",2
"72","GAGA-0528",9
"73","GAGA-0530",4
"74","GAGA-0531",1
"75","GAGA-0532",11
"76","GAGA-0533",1
"77","GAGA-0538",1
"78","GAGA-0540",1
"79","GAGA-0543",2
"80","GAGA-0578",3
"81","GAGA-0579",2
"82","NCBI-0001",10
"83","NCBI-0002",1
"84","NCBI-0005",1
"85","OUT-0001",10
"86","OUT-0002",10
